"exp_id","exp_name","buses","iter"
1,"one",128,1
2,"many",104,1
3,"LBH",117,1
4,"one",246,1
5,"many",195,1
6,"LBH",229,1
7,"one",365,1
8,"many",283,1
9,"LBH",327,1
10,"one",465,1
11,"many",385,1
12,"LBH",438,1
13,"one",129,1
14,"many",106,1
15,"LBH",111,1
16,"one",251,1
17,"many",196,1
18,"LBH",228,1
19,"one",366,1
20,"many",281,1
21,"LBH",330,1
22,"one",470,1
23,"many",388,1
24,"LBH",436,1
25,"one",130,1
26,"many",105,1
27,"LBH",113,1
28,"one",249,1
29,"many",199,1
30,"LBH",234,1
31,"one",363,1
32,"many",286,1
33,"LBH",334,1
34,"one",478,1
35,"many",384,1
36,"LBH",442,1
37,"one",129,1
38,"many",107,1
39,"LBH",115,1
40,"one",251,1
41,"many",202,1
42,"LBH",236,1
43,"one",361,1
44,"many",284,1
45,"LBH",331,1
46,"one",479,1
47,"many",383,1
48,"LBH",447,1
49,"one",133,1
50,"many",107,1
51,"LBH",118,1
52,"one",248,1
53,"many",202,1
54,"LBH",236,1
55,"one",366,1
56,"many",286,1
57,"LBH",335,1
58,"one",470,1
59,"many",391,1
60,"LBH",443,1
